Gen_ID,Date,Sex,Length,Location,Phen_num,q,big_Q,q_ci_width,Q_ci_width
EGM2018_2367,NA,NA,NA,YNP,NA,0.999983895890329,1.58114294573577e-05,0.000112243669156628,0.000142099194999899
EGM2018_2368,NA,NA,NA,YNP,NA,0.999984945973446,1.47577968740784e-05,0.000106576910239907,0.000138501925539455
WCR2019_0078,5/11/2019,Male ,460,Trout Creek,NA,0.999987687643232,1.07861813829581e-05,8.89448593284267e-05,0.000100981600189697
WCR2019_0137,5/12/2019,Female ,448,Trout Creek,NA,0.357006419720663,0.698722397753562,0.00903096497058864,0.017983950674534
WCR2019_0139,5/12/2019,Female ,455,Trout Creek,NA,0.00580074878742694,0.0115661721493,0.00367292016744614,0.00734710299875586
WCR2019_0141,5/12/2019,Female ,504,Trout Creek,NA,0.523721239285908,0.944045887520944,0.00501803085207936,0.00990673601627357
WCR2019_0142,5/12/2019,Female ,450,Trout Creek,NA,0.00101052775067308,0.00194014788336448,0.00221385508775718,0.00431631027544621
WCR2019_0182,5/13/2019,Female ,483,Trout Creek,NA,0.00800977526577832,0.0133243801414528,0.00410314351320273,0.00740202360320836
WCR2019_0211,5/15/2019,Female ,448,Trout Creek,NA,0.298178798804681,0.584643279810746,0.00975975990295419,0.019782617688179
WCR2019_0242,5/20/2019,Female ,471,Trout Creek,NA,0.053534493657664,0.106346027888358,0.00626274943351746,0.0125478832051158
WCR2019_0261,5/21/2019,Female ,485,Trout Creek,NA,0.0616414284532697,0.113413327499025,0.00702736377716062,0.0134146859869361
WCR2019_0327,5/24/2019,Male ,460,Trout Creek,NA,0.470980341628023,0.941936346761797,0.0052428305149077,0.0104842379689217
WCR2019_0342,5/24/2019,Female ,495,Trout Creek,NA,0.0357914246654074,0.0715208303260392,0.00576831102371222,0.0115290503948927
WCR2019_0411,5/24/2019,Female ,434,Trout Creek,NA,0.021122004147619,0.0376776917760485,0.00491642355918886,0.00938104828819632
WCR2019_0474,5/25/2019,Female ,424,Trout Creek,NA,0.731975184247411,0.536026832817615,0.00963975116610527,0.0192250192165375
WCR2019_0485,5/25/2019,Female ,427,Trout Creek,NA,0.0983046539093571,0.196322524443098,0.0077695921063422,0.015562929213047
WCR2019_0548,5/26/2019,Male ,340,Trout Creek,NA,0.0457340202525515,0.0772945989914581,0.00887359380722041,0.015692950412631
WCR2019_0551,5/26/2019,Male ,371,Trout Creek,NA,0.0162317334734246,0.032400041810269,0.00423650443553936,0.00843222439289092
